name,TotalExposedSasa,TotalBSA,InterfaceHydrophobicSasa,InterfacePolarSasa,InteractionScore,FaAtrInteraction,FaRepInteraction,FaSolInteraction,FaElecInteraction,HBondBbScInteraction,HBondScInteraction,GenBonded,HBInterface,InterfaceUnsat,SideFlexAlpha,SideFlexBeta,SideFlexOther,BackFlexAlpha,BackFlexBeta,BackFlexOther,PiPi,TStacking,CationPi,SaltBridge,TotalElec,TotalHBond,TotalHphobics,6.6,6.7,6.8,6.9,6.15,6.16,6.17,6.35,6.53,7.6,7.7,7.8,7.9,7.15,7.16,7.17,7.35,7.53,8.6,8.7,8.8,8.9,8.15,8.16,8.17,8.35,8.53,16.6,16.7,16.8,16.9,16.15,16.16,16.17,16.35,16.53,FCsp3,NumHAcceptors,NumHDonors,MolLogP,TPSA,Class,PDB_code
actives_best/mini_1c1c_model0_chainA_612_resi999__chainA.pdb,-0.236174722,811.4,0.865249747,0.134750253,-39.06566781,-39.52033967,9.175647335,0.931880614,-2.710498452,-1.03464287,0,17.0345257,1,3,0,405,40,0,54,11,0,0,0,0,-87000.44356,1,27,3198,746,767,10,401,97,96,0,597,145,146,0,0,0,0,0,0,0,0,0,216,49,51,1,0,0,0,0,0,0,0,0,0,0,0,0,0.75,5,1,3.0788,64.09,1,1C1C_612
actives_best/mini_1c1e_model0_chainH_ENH_resi703__chainH.pdb,-0.127678949,567.3,0.731766467,0.268233533,-22.19610995,-23.33186203,4.687748017,4.284915053,-1.849443357,0,-1.399908028,4.284351129,1,6,0,121,37,0,6,12,0,0,0,0,-32415.95104,1,16,1265,347,357,17,144,39,41,2,292,78,81,4,0,0,0,0,0,0,0,0,0,0,0,0,632,189,180,8,0,0,0,0,0,0,0,0,0.6,2,0,3.0629,37.38,1,1C1E_ENH
actives_best/mini_1c5q_model0_chainA_ESI_resi246__chainA_altB.pdb,-0.134778495,488.41,0.514887567,0.485112433,-24.28335605,-24.60009526,2.914375378,16.28908688,-9.714875115,-1.832755468,-2.713166025,5.054230518,4,6,0,32,91,0,23,40,0,0,0,0,-306341.1649,4,9,1394,394,489,43,383,109,120,9,0,0,0,0,0,0,0,0,0,0,0,0,187,55,63,6,0,0,0,0,0,0,0,0,121,37,43,2,0,1,2,0.9703,51.61,1,1C5Q_ESI
actives_best/mini_1d4p_model0_chainB_BPP_resi400__chainB.pdb,-0.164712714,828.7,0.67097826,0.32902174,-29.39735912,-35.35971428,7.375524264,12.06962013,-3.702791261,-1.53016328,-1.424275693,17.28353064,2,8,0,98,217,0,43,43,0,0,0,0,-165986.423,2,37,3548,925,1086,80,697,194,228,18,136,42,46,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.272727273,2,3,3.54687,85.97,1,1D4P_BPP
actives_best/mini_1d6v_model0_chainH_HOP_resi401__chainL_chainH.pdb,-0.039461312,725.2,0.731425051,0.268574949,-27.44684264,-33.20397797,9.831523555,4.113158566,-1.898521622,0,0,2.824746119,0,11,0,291,102,0,12,1,0,0,1,0,-40980.37576,1,51,4594,1044,1169,11,135,30,40,0,503,116,141,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.391304348,4,3,3.6934,86.63,1,1D6V_HOP
actives_best/mini_1dlr_model0_chainA_MXA_resi188__chainA.pdb,-0.217137311,783.2,0.823912089,0.176087911,-36.83316406,-36.16034116,8.845286495,3.902841084,-5.682681448,-1.656887595,-1.110334209,9.885381175,3,6,133,85,175,5,43,2,0,0,0,0,-92562.30453,3,44,3330,801,843,26,1163,235,261,12,345,88,84,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.235294118,7,2,2.10562,109.17,1,1DLR_MXA
actives_best/mini_1e7v_model0_chainA_LY2_resi3095__chainA.pdb,-0.231150534,764.2,0.829855492,0.170144508,-23.04311482,-26.59075841,8.830953169,-0.572871384,-1.506701531,0,0,2.469492316,0,10,0,227,78,0,13,9,0,0,0,0,2485.617646,1,24,3671,917,964,51,206,46,54,3,587,144,159,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.210526316,4,0,3.2966,42.68,1,1E7V_LY2
actives_best/mini_1eap_model0_chainB_HEP_resi222__chainA_chainB.pdb,-0.174980739,721.9,0.693826814,0.306173186,-17.06311672,-32.97948416,7.684935702,12.75427445,-3.123122715,-2.270201904,-0.14028467,29.39030945,3,8,0,233,137,0,5,31,0,0,0,3,-113652.8987,3,19,2957,739,706,7,174,46,43,0,979,255,241,0,0,0,0,0,204,53,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.466666667,6,3,2.7481,112.93,1,1EAP_HEP
actives_best/mini_1ejn_model0_chainA_AGB_resi800__chainA.pdb,-0.131643761,730.4,0.577514086,0.422485914,-26.38067553,-39.90665098,7.943991538,26.37787415,-8.851396649,-3.157939925,-0.553142445,38.27628685,4,13,0,54,246,0,24,101,0,0,0,1,-26964.44616,6,20,3207,863,1000,80,929,252,291,20,170,47,59,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.578947368,2,5,2.75997,103.03,1,1EJN_AGB
actives_best/mini_1ewl_model0_chainA_R99_resi280__chainA.pdb,-0.049518889,690.11,0.664855781,0.335144219,-22.53575773,-28.02932426,4.951251086,8.917805389,-2.60703221,0,0,7.942988808,0,12,56,79,94,1,42,49,0,0,0,0,192574.2194,1,17,2239,680,787,54,255,79,94,7,616,189,209,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.526315789,5,4,1.1019,115.73,1,1EWL_R99
actives_best/mini_1ewm_model0_chainA_RL2_resi280__chainA.pdb,-0.036034345,708.2,0.662792368,0.337207632,-22.61291008,-25.83546076,5.26543055,5.364204497,-2.022152113,0,0,13.43966974,0,6,51,68,115,3,42,32,0,0,0,0,73402.21812,1,15,2322,697,802,49,218,65,76,6,560,171,192,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.526315789,5,4,1.1019,115.73,1,1EWM_RL2
actives_best/mini_1fk9_model0_chainA_EFZ_resi999__chainA.pdb,-0.207759097,663.2,0.855932316,0.144067684,-36.69011217,-32.25819712,7.489926596,-0.348005032,-4.067992821,-3.074055499,0,12.42354018,2,3,0,269,8,0,42,6,0,0,0,0,-70983.39811,2,23,2943,697,699,4,202,46,47,0,389,93,92,0,607,132,138,0,0,0,0,0,0,0,0,0,212,50,53,0,0,0,0,0,0,0,0,0,0.357142857,2,1,4.0731,38.33,1,1FK9_EFZ
actives_best/mini_1fm6_model0_chainD_BRL_resi503__chainD.pdb,-0.196182781,821,0.829466005,0.170533995,-35.76724617,-44.02277166,10.68338998,6.874725814,-2.842393337,0,-1.745158813,10.18055317,3,2,346,76,9,42,1,0,0,0,0,0,67702.0614,3,28,3859,886,855,74,644,147,144,11,675,158,155,11,0,0,0,0,0,0,0,0,223,49,41,4,0,0,0,0,0,0,0,0,0,0,0,0,0.277777778,6,1,2.4909,71.53,1,1FM6_BRL
actives_best/mini_1fpu_model0_chainB_PRC_resi2__chainB.pdb,-0.182582821,886.6,0.840796123,0.159203877,-43.3141781,-46.80639527,13.22928278,6.64441277,-4.620993773,-2.545827425,-1.439365674,13.73135551,2,4,80,310,98,0,40,18,0,0,0,0,90775.50121,2,60,4340,1008,1162,47,1177,285,316,12,200,43,51,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.045454545,6,2,4.23792,92.69,1,1FPU_PRC
actives_best/mini_1fv0_model0_chainA_9AR_resi401__chainA.pdb,-0.225747838,760.89,0.723870946,0.276129054,-21.34255532,-34.15170216,6.922208533,10.00673258,0.392796454,0,0,22.34321578,0,5,114,0,144,7,0,56,0,0,0,0,172566.4318,0,23,2795,677,812,63,118,30,33,2,1132,269,321,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.117647059,7,3,2.9337,125.53,1,1FV0_9AR
actives_best/mini_1fvt_model0_chainA_106_resi299__chainA.pdb,-0.176316479,717.4,0.729645697,0.270354303,-25.48639642,-33.57735242,10.75691704,13.76385367,-6.656552271,-5.055146499,0,18.97318128,4,3,29,263,10,0,46,1,0,0,0,1,-104094.438,4,24,2690,655,663,0,717,177,179,0,474,118,122,1,0,0,0,0,0,0,0,0,145,37,34,0,0,0,0,0,215,53,53,0,0,0,0,0,0,5,3,1.8648,113.65,1,1FVT_106
actives_best/mini_1fxv_model0_chainB_PNN_resi1001__chainB.pdb,0.005048958,497.7,0.805831154,0.194168846,-20.70552164,-19.10415509,4.554135828,-0.171318228,-2.127825003,0,-0.763439658,9.795441917,1,4,16,73,113,0,9,7,0,0,0,0,-60090.5451,1,16,2707,609,741,7,317,71,78,0,541,123,141,0,0,0,0,0,0,0,0,0,141,41,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4375,5,2,0.8608,86.71,1,1FXV_PNN
actives_best/mini_1g9v_model0_chainA_RQ3_resi801__chainB_chainA.pdb,-0.053950289,691.7,0.743612735,0.256387265,-20.57820956,-19.2856481,4.432440887,0.520253161,-2.305411149,0,0,9.297246511,0,1,211,0,34,1,0,0,0,0,1,1,-142547.6877,0,20,2831,762,829,31,172,47,44,2,478,113,137,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3,4,2,3.72664,75.63,1,1G9V_RQ3
actives_best/mini_1ggd_model0_chainC_FAF_altA_resi301__chainC_altB.pdb,0.000287582,550.83,0.598000974,0.401999026,-22.94858545,-27.47813349,6.286548956,13.46185547,-6.292211441,-4.368195067,0,2.214801029,3,1,0,85,111,0,55,51,0,0,0,0,-161427.7974,3,22,1704,451,545,61,180,47,61,8,265,72,97,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.470588235,3,2,1.4636,75.27,1,1GGD_FAF
actives_best/mini_1gii_model0_chainA_1PU_resi501__chainA.pdb,-0.200663393,674.9,0.69688634,0.30311366,-23.85466344,-28.15193184,5.408559919,9.659579323,-4.999809073,-3.887761125,0,8.215431707,2,3,2,237,26,0,23,24,0,0,0,0,-98153.53179,3,18,3140,825,846,0,748,194,204,0,392,102,103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.235294118,3,2,3.0163,74.33,1,1GII_1PU
actives_best/mini_1gij_model0_chainA_2PU_resi501__chainA.pdb,-0.174034759,796,0.622337471,0.377662529,-29.45274978,-33.42753391,6.800057567,10.01617159,-5.950040875,-3.785588452,0,19.64756501,2,8,1,266,40,0,32,28,0,0,0,2,-115619.954,2,18,3360,880,903,1,1035,281,286,0,397,103,106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.421052632,4,4,2.7689,102.15,1,1GIJ_2PU
actives_best/mini_1gj4_model0_chainH_132_resi410__chainH_altA.pdb,-0.193226088,770.5,0.717665542,0.282334458,-31.58531662,-37.32246994,9.352956209,18.08133942,-9.265201372,-1.22424282,-2.344152369,23.66205168,5,10,0,60,229,0,37,44,0,0,1,0,-91222.69542,5,37,3428,903,1083,86,564,159,187,11,177,42,54,4,0,0,0,0,0,0,0,0,0,0,0,0,220,55,62,7,0,0,0,0,0,0,0,0,0,1,4,3.3253,87.63,1,1GJ4_132
actives_best/mini_1gj5_model0_chainH_130_resi410__chainH_altB.pdb,-0.174628413,723.4,0.693478888,0.306521112,-23.07265033,-34.05041941,6.343941237,18.98060122,-4.179349778,0,-2.629671345,17.17018393,3,12,0,52,211,0,30,34,0,0,1,0,158232.5866,3,30,3225,873,1031,77,723,202,239,15,177,43,53,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,3.88657,98.78,1,1GJ5_130
actives_best/mini_1gj8_model0_chainB_133_resi251__chainB_altB.pdb,-0.127146088,687.1,0.496159791,0.503840209,-22.53834184,-29.17702101,2.890785894,16.11135874,-3.845991878,-0.737631259,-1.472172259,10.70585602,3,11,0,67,139,0,44,28,0,0,0,0,-97865.25241,3,15,2709,750,864,72,671,191,213,16,300,83,95,7,210,54,63,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.222222222,4,4,3.39347,108.01,1,1GJ8_133
actives_best/mini_1h1q_model0_chainC_2A6_resi1298__chainC.pdb,-0.244016649,829.4,0.738776717,0.261223283,-35.50289607,-37.54492246,8.623460712,4.980090849,-3.688108969,-3.004679427,0,6.269844906,2,8,12,299,45,0,61,19,0,0,0,0,-40513.89869,2,31,3295,822,876,0,1008,252,265,0,220,52,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.388888889,5,2,4.0556,75.72,1,1H1Q_2A6
actives_best/mini_1h82_model0_chainA_GZZ_resi590__chainA.pdb,-0.149799441,1006,0.560975862,0.439024138,-42.11274853,-46.40299305,11.38282506,11.15275074,-7.575604547,-2.679832845,-2.493906051,29.71130652,4,11,125,173,211,27,9,50,0,0,1,3,32139.30672,5,40,3914,837,1090,11,1446,318,428,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.888888889,3,7,2.22334,135.83,1,1H82_GZZ
actives_best/mini_1h9z_model0_chainA_RWF_resi3001__chainA.pdb,-0.210467332,711.3,0.806646404,0.193353596,-30.79384724,-32.43039307,7.936753904,0.07198679,-1.896708288,0,-0.962960917,10.59139461,1,5,386,0,0,24,0,0,0,0,0,0,-37831.04364,0,38,3741,987,966,66,0,0,0,0,795,221,205,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.157894737,4,1,3.6096,67.51,1,1H9Z_RWF
actives_best/mini_1ha2_model0_chainA_SWF_resi3001__chainA.pdb,-0.254197757,733.4,0.761823419,0.238176581,-28.19072538,-29.51600364,6.681196029,-0.046913118,-1.105738824,0,0,11.65614517,0,3,360,0,0,25,0,0,0,0,0,0,-32736.6944,0,30,3717,999,956,80,0,0,0,0,787,225,207,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.157894737,4,1,3.6096,67.51,1,1HA2_SWF
actives_best/mini_1i9h_model0_chainB_BNI_resi502__chainB.pdb,-0.116272988,730.53,0.701403529,0.298596471,-33.75186566,-34.74959888,6.534141687,10.09244816,-5.562956531,-0.606249647,-5.589228424,24.25058968,4,6,0,333,94,0,3,27,0,0,0,0,-339096.2392,4,32,2502,668,721,0,620,164,178,0,522,137,155,0,0,0,0,0,0,0,0,0,212,51,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,4,4,2.1505,110.54,1,1I9H_BNI
actives_best/mini_1inc_model0_chainA_ICL_resi260__chainA.pdb,-0.107075916,698.3,0.589063675,0.410936325,-23.83709945,-27.09811756,9.113435196,8.608567886,-5.467279986,-2.424470534,-1.162451841,12.98582542,3,4,0,67,184,0,28,27,0,0,0,0,-93590.85094,3,17,2249,682,715,66,252,81,84,8,526,162,168,16,0,0,0,0,0,0,0,0,0,0,0,0,176,52,57,4,0,0,0,0,0,0,0,0,0.470588235,4,2,3.6403,84.5,1,1INC_ICL
actives_best/mini_1ix1_model0_chainA_BB2_resi1301__chainA.pdb,-0.135493112,810.18,0.675583741,0.324416259,-40.57783577,-40.21102632,10.19599092,16.80631965,-13.50064388,-4.553685447,-4.618964221,4.997633347,6,9,145,222,87,3,50,25,0,0,0,1,-151981.007,8,17,3041,765,819,77,532,139,141,14,864,214,232,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.842105263,5,4,1.2025,118.97,1,1IX1_BB2
actives_best/mini_1jla_model0_chainA_TNK_resi999__chainA.pdb,-0.243769619,894.2,0.859502987,0.140497013,-42.57431602,-45.76963704,11.44381717,2.738951178,-2.933444215,-1.308959074,0,13.03623968,1,4,0,406,79,0,52,13,0,0,0,0,-157289.3093,1,54,4163,1015,1020,26,399,98,93,2,564,139,140,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.272727273,4,1,3.4251,64.09,1,1JLA_TNK
actives_best/mini_1k3t_model0_chainC_BRZ_resi960__chainC_altA.pdb,0.096469613,440.2,0.778840808,0.221159192,-15.44794851,-13.8565744,2.917204531,0.087531708,-3.04074085,-1.119934118,0,8.689201737,1,1,69,72,1,6,19,0,0,0,0,0,-74051.68323,1,9,2299,711,848,34,0,0,0,0,466,139,174,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.421052632,4,1,3.331,59.67,1,1K3T_BRZ
actives_best/mini_1ke5_model0_chainA_LS1_resi299__chainA.pdb,-0.183937312,747.3,0.688918922,0.311081078,-29.52506021,-34.12673435,10.7471104,12.20027073,-8.970627582,-4.338464771,0,23.71948636,4,7,20,233,68,0,10,29,0,0,0,1,-4840.524136,4,31,3075,764,769,0,522,130,132,0,478,122,118,1,0,0,0,0,0,0,0,0,142,37,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0625,4,3,1.9998,87.3,1,1KE5_LS1
actives_best/mini_1ke6_model0_chainA_LS2_resi299__chainA.pdb,-0.121495915,741.6,0.723724771,0.276275229,-24.48422553,-26.02859695,8.852372922,5.381112569,-6.086945879,-3.409662581,0,27.51310157,3,2,0,188,30,0,9,27,0,0,0,0,-54980.98247,3,23,2953,732,759,0,864,218,231,0,401,102,103,0,0,0,0,0,0,0,0,0,308,80,77,0,0,0,0,0,0,0,0,0,0,0,0,0,0.117647059,7,3,2.1138,112.55,1,1KE6_LS2
actives_best/mini_1ke8_model0_chainA_LS4_resi299__chainA.pdb,-0.166134797,821.6,0.627737348,0.372262652,-31.78354129,-34.91656276,8.124061049,11.13280893,-8.574270257,-3.801216672,0,14.16188513,3,4,18,254,56,0,14,27,0,0,0,0,-82401.4305,3,29,3229,803,808,0,631,163,164,0,467,122,116,1,0,0,0,0,0,0,0,0,237,63,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3,3.349,100.19,1,1KE8_LS4
actives_best/mini_1kms_model0_chainA_LIH_resi201__chainA_altA.pdb,-0.212863318,751.04,0.762155749,0.237844251,-27.34788847,-33.60028165,6.43394875,7.72323782,-2.814349943,-1.016002413,0,33.22846917,1,12,132,80,146,5,38,3,0,0,0,0,64286.0168,2,35,3507,852,890,24,1494,333,354,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.111111111,7,3,2.65792,115.63,1,1KMS_LIH
actives_best/mini_1kv1_model0_chainA_BMU_resi391__chainA.pdb,-0.206085769,761.2,0.813102638,0.186897362,-38.06097982,-33.69670022,6.963507486,5.099941278,-7.759003945,-1.231140527,-3.708788352,8.010373503,3,1,118,96,160,2,15,27,0,0,1,0,-127077.2121,3,19,3034,798,798,17,782,198,197,4,188,48,52,2,0,0,0,0,0,0,0,0,0,0,0,0,196,50,54,2,0,0,0,0,0,0,0,0,0.333333333,3,2,4.015,58.95,1,1KV1_BMU
actives_best/mini_1l2s_model0_chainB_STC_resi3115__chainB_altB_chainA.pdb,-0.236753586,671.1,0.67709069,0.32290931,-21.80344748,-24.43291419,4.394462223,9.25046862,-4.274955165,0,-3.299702556,3.756898934,2,4,187,0,69,12,0,6,0,0,0,0,-11183.79774,2,19,2143,579,659,3,195,56,55,0,801,208,242,2,0,0,0,0,0,0,0,0,409,106,121,0,181,55,57,0,0,0,0,0,0,0,0,0,0,5,2,2.9005,83.47,1,1L2S_STC
actives_best/mini_1lbc_model0_chainC_CYZ_resi331__chainA_chainC.pdb,-0.192439407,773.2,0.592401625,0.407598375,-23.44307014,-34.07637345,7.620409296,19.47955021,-6.754138013,-2.169646469,-3.48615741,22.81143893,5,10,80,173,37,5,72,0,0,0,0,0,50524.12134,5,16,2749,681,819,10,555,137,170,3,721,165,208,7,0,0,0,0,0,0,0,0,355,87,105,3,181,39,47,1,0,0,0,0,0,0,0,0,0.428571429,5,3,1.2295,118.36,1,1LBC_CYZ
actives_best/mini_1lhw_model0_chainA_ESM_resi301__chainA_altA.pdb,-0.208683081,708.35,0.757362049,0.242637951,-39.81913674,-36.08083591,9.835381248,1.847331363,-6.334876006,0,-4.5852544,3.757747096,4,2,0,387,68,0,36,7,0,0,0,0,-215084.8277,3,29,4166,900,1019,54,0,0,0,0,590,142,156,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.684210526,3,2,3.6178,49.69,1,1LHW_ESM
actives_best/mini_1lke_model0_chainA_DOG_resi500__chainA.pdb,-0.225655128,785.05,0.639574351,0.360425649,-40.01880317,-43.37604496,10.65303928,3.910307761,-3.065562692,-3.55E-15,-3.857344888,8.407458478,2,3,113,441,0,0,41,0,0,0,0,0,42574.16197,3,47,4807,1220,1258,16,0,0,0,0,1092,268,271,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.869565217,5,3,2.5751,86.99,1,1LKE_DOG
actives_best/mini_1lnm_model0_chainA_DTX_resi700__chainA.pdb,-0.233694589,787.74,0.693413957,0.306586043,-38.05487742,-38.82536729,8.187949997,0.705644924,-1.510416749,0,-1.769043118,8.989068394,1,4,118,372,0,0,35,0,0,0,0,0,108747.5222,2,38,4519,1186,1187,21,0,0,0,0,840,209,210,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.869565217,4,2,3.6043,66.76,1,1LNM_DTX
